date,Q1,Q2,Q3,Q4,Q5
2007-01-31,1.0,1.0,1.0,1.0,1.0
2007-02-28,1.001987831356732,0.9697354721920487,0.9628075192939501,0.9891945845747377,0.9974403141397549
2007-03-31,1.0492609904673411,1.0416930920183303,1.0305167613884054,1.0638510403537105,1.0554608254960576
2007-04-30,1.1286837133804417,1.1123808513262572,1.0556931661090716,1.1188607576495844,1.0861776700312922
2007-05-31,1.1105347845121503,1.254814376510125,1.1989318411519019,1.1728878347758958,1.168088933728336
2007-06-30,1.0822745678128092,1.2998942444569022,1.1798589199807428,1.1591361244874294,1.1638227028833141
2007-07-31,1.0595452667856178,1.2353831168123774,1.2217356583250139,1.1473479438429524,1.1544366615947355
2007-08-31,1.07985437241799,1.2282386620675239,1.1823558347236425,1.0884086662660495,1.1348122278436295
2007-09-30,1.148215335440111,1.2353831168123774,1.4128721110165487,1.1679766347225247,1.2645049084775422
2007-10-31,1.3248640189734293,1.3003143859781925,1.6443488588272066,1.2878193447685824,1.3430034331834857
2007-11-30,1.2183042540948652,1.2194126770573117,1.555023697346824,1.2278978021710747,1.2269627614493337
2007-12-31,1.1482158356133496,1.1991862253856311,1.5517369765377556,1.2926448858099722,1.2223005391643254
2008-01-31,1.0355209457904386,1.187836980797183,1.4975227420653132,1.3271694692273754,1.0795953323726466
2008-02-29,1.0459346955241857,1.1901923524984375,1.5863690423214392,1.272335946891913,1.0769362318654916
2008-03-31,0.9993386995252858,1.1815730963987157,1.5863690423214392,1.2866473775835754,1.1318912096656657
2008-04-30,1.1076210610374981,1.2768040904004487,1.8252136858758354,1.2784815793050772,1.2028007905087703
2008-05-31,1.1453916431484021,1.3895653931184837,1.7876925469710847,1.259162881118585,1.2178684710000982
2008-06-30,1.030843611476575,1.2638548232636102,1.5590353868943458,1.13894204943282,1.1117732124645434
2008-07-31,1.0427049340160746,1.1753641911632497,1.6431708266630796,1.1507065146956987,1.1046063201918517
2008-08-31,0.9970706997016323,1.0979746325277566,1.5856408171126792,1.0644623032807128,1.0078524409366876
2008-09-30,0.8884180670862357,0.9120140155394543,1.3960325327544385,0.9700394697642375,0.8725763073223491
2008-10-31,0.6251159419430343,0.6068965876651548,0.9044096307891688,0.7705926730690013,0.6297958244268893
2008-11-30,0.6394218254594037,0.5719238465111066,0.8298825313116586,0.7541178419419555,0.6091908446217508
2008-12-31,0.7163916988105381,0.6156882273827229,0.929061705877279,0.7828996980657376,0.6582120052004475
2009-01-31,0.6165466882065082,0.576483726233449,0.845395310855254,0.8181411774885838,0.6021938259204781
2009-02-28,0.5695063240117952,0.526267694973557,0.80836218099502,0.8151508536662907,0.5896044509719132
2009-03-31,0.6501324063139139,0.5911020161325433,0.8484468534868748,0.8275606123876266,0.6812466043325206
2009-04-30,0.7405420185028555,0.6915215530117466,1.037566575174555,0.9244113706087762,0.8219751804290465
2009-05-31,0.870097037611417,0.8298270690982202,1.2484937813535675,1.0545299180172443,1.0834192025002307
2009-06-30,0.8763223858311933,0.8679288305666198,1.2667982522499797,1.0970776026530056,1.035675275031253
2009-07-31,0.9417834772232967,0.9539760164173484,1.3572878638988959,1.2196191860888121,1.1620439080651683
2009-08-31,0.9728010984146458,0.995801134609685,1.4020597888680641,1.23882809762464,1.1559135410032895
2009-09-30,1.0662917025500493,1.094093656217281,1.600707518307764,1.3099419328071882,1.2636853704821187
2009-10-31,1.0163991491384985,1.0511381297416114,1.5494854058353837,1.2826052845062805,1.271743557154561
2009-11-30,1.0921054232130758,1.1299993086230447,1.680422065254528,1.3000994566895014,1.353306048777475
2009-12-31,1.0980037829681282,1.147602617595564,1.7313526529306138,1.4611426889654897,1.3829053815282935
2010-01-31,1.0244450970016186,1.1327499287225544,1.559615587897047,1.4982004822324018,1.3497568514598277
2010-02-28,1.0475491250510978,1.2084350674593267,1.6485529848327993,1.4325114848429692,1.3617078350573648
2010-03-31,1.1561646943291433,1.2771729041830007,1.8287207963733476,1.5175152832725294,1.4757684561142648
2010-04-30,1.163895943097875,1.2873932872383904,1.7720881023202977,1.5922542184443096,1.5051814849506184
2010-05-31,1.0964972682157683,1.2268298871810368,1.6299415196902007,1.478004262235639,1.347528431151423
2010-06-30,1.1145195277616793,1.244638485796452,1.668054398751858,1.512608426105957,1.3080405600357057
2010-07-31,1.241333337234294,1.3539226175728036,1.8599630156523863,1.6865968370092315,1.492803164769932
2010-08-31,1.1997088701914616,1.3809191986321712,1.9180244106618964,1.7477719757066628,1.441626912904221
2010-09-30,1.3816842649549816,1.5649495804343414,2.1478814652448075,1.9332633413562295,1.6032924186313642
2010-10-31,1.4359526675697845,1.6458259111050135,2.2244614419827404,2.001025299571235,1.6859230150606077
2010-11-30,1.296409435207624,1.588611827898364,2.2184814371375583,1.9230858541749123,1.6115832876171765
2010-12-31,1.3840959649558695,1.7222840885870307,2.33638183306098,1.991825489045739,1.761537040625351
2011-01-31,1.23653278202257,1.6215881497311564,2.207088162382747,1.8528738742286868,1.7828417103373992
2011-02-28,1.2677144904944477,1.6260057461810344,2.2616226799868904,1.8213156469178926,1.7850556965128093
2011-03-31,1.3687460900370496,1.6319120357715355,2.3777554648304124,1.9218974277654108,1.850147327821526
2011-04-30,1.439621308009365,1.627952239066873,2.5204502399248057,1.9993612793609508,1.9443279722096487
2011-05-31,1.412243667796079,1.6477390251812163,2.3403420439090223,1.9873612087979726,1.8747652692691403
2011-06-30,1.4170378994193382,1.5683483333121742,2.2846117600591636,1.9789189681598622,1.8371146795840072
2011-07-31,1.4710974429954446,1.6183809667260838,2.3069508041138977,1.9147339245036072,1.8505572327490236
2011-08-31,1.4231418996711487,1.5756024774905406,2.104663940257879,1.795233867780023,1.616958978625142
2011-09-30,1.1669282118715796,1.342312359997949,1.7955543109369376,1.468927056956993,1.2756795105040257
2011-10-31,1.3226698704242763,1.4899723793770117,1.9815484344670578,1.7035084310443325,1.4755138159089334
2011-11-30,1.3269937150506927,1.4712784622919448,1.9442850647234056,1.6716649999332815,1.4288619574604577
2011-12-31,1.3053519007722518,1.4378947203187509,1.8637291808880627,1.6365586998401118,1.3038886594508174
2012-01-31,1.4046647069077476,1.5947976337885035,2.111857358755331,1.76165707280492,1.498678445105754
2012-02-29,1.4230973159068894,1.6650489734432112,2.2380036115985202,1.889702087111766,1.5773675897567723
2012-03-31,1.4478155256895202,1.691369519902372,2.2399476308874404,1.8665920684019186,1.5450656596985581
2012-04-30,1.439441130093106,1.7163337201047872,2.2082013136823986,1.8621746362747,1.520267798914398
2012-05-31,1.2937599510643139,1.5739096745049164,1.931499807045649,1.6647079371202171,1.325572158784382
2012-06-30,1.3950969802991817,1.5897773592719067,2.0665121582652115,1.792540353352007,1.443415531348979
2012-07-31,1.4052591637910559,1.5836134691989487,2.0841398215942255,1.806267828014878,1.465927177559744
2012-08-31,1.376560502161123,1.5806270288446433,2.0953170695105894,1.8000343320054937,1.495736272575332
2012-09-30,1.4868988033353676,1.667180402170741,2.210105521403069,1.8557792689988009,1.5591002665149487
